Country,Section,Detail
Australia,Dining and Entertainment,"Lay knife/fork parallel on plate at 5:25 position when 
              finished eating."
Australia,Dining and Entertainment,Keep your hands above the table and elbows off the table.
Australia,Dining and Entertainment,"Offer to help with meal preparation and clean-up when being 
              entertained in a home."
Australia,Dining and Entertainment,"Do not say ""I'm stuffed"" after a meal. This means you are 
              pregnant."
Australia,Dress,"Australians wear fashions similar those worn by Europeans and 
              North Americans"
Australia,Dress,"For business, men should wear conservative jackets and ties. 
              During the summer months, jackets are often removed. Women should 
              wear skirts and blouses or dresses."
Australia,Gifts,"It is not customary to exchange business gifts during initial 
              meetings."
Australia,Gifts,"When invited to an Australian’s home, bring a small gift 
              (flowers, chocolates, or books about your home country or region) 
              for your hosts."
Australia,Gifts,"Australia produces excellent wine. Taking wine would be like 
              taking sand to the desert."
Australia,Helpful Hints,"Stick with standard English, not Aussie terms."
Australia,Helpful Hints,"Aussies dislike class distinctions and have a history of 
              ""cutting down the tall poppy."" This grew out of the Australian 
              prisoners' hatred of their British overseers. Many Australian 
              politicians have declined the designation of knighthood for fear 
              of alienating their constituents."
Australia,Helpful Hints,"Australians sit in the front seat of a taxi/limousine. A 
              single passenger sitting in the back seat is viewed as ""putting on 
              airs."""
Australia,Helpful Hints,"Australians respect people with strong opinions, even if they 
              don't agree."
Australia,Helpful Hints,"Avoid discussions about the treatment of the aboriginal 
              people."
Australia,Helpful Hints,"Don’t comment on anyone's accent. Accents often distinguish 
              social class."
Australia,Helpful Hints,"If you are teased, you are expected to reply in kind, with 
              good humor. Such self-confidence will increase an Australian's 
              respect for you. They do not admire a subservient attitude."
Australia,Helpful Hints,Do not sniff or blow your nose in public.
Australia,Helpful Hints,
Australia,Helpful Hints,
Australia,Helpful Hints,^Back to Top
Austria,Meeting and Greeting,"Shake hands with everyone present--men, women and children--at 
              a business or social meeting; shake hands with women before men. 
              Women should offer their hand first. Shake hands again when 
              leaving."
Austria,Meeting and Greeting,"Viennese men may kiss the hand of a woman. Accept this 
              tradition graciously. A foreign man should not kiss the hand of an 
              Austrian woman, since it is not expected and may come as a shock."
Austria,Names and Titles,"Titles are very important. Use last names and appropriate 
              titles until specifically invited by your Austrian host or 
              colleagues to use their first names."
Austria,Names and Titles,"Herr/Frau+ professional title + surname are used when 
              initially addressing someone. Example:Herr Doctor Bauer. Frau+ professional title + surname are also used when addressing the 
              wife of a professional. Example:Frau Doctor Bauer. All 
              women over 18 are Frau, even if they are not married."
Austria,Names and Titles,"After you initially meet someone, you can drop his/her surname 
              and address the person usingHerr/Frau+ professional title 
              alone. Example:Herr Doctor or Frau Doctor."
Austria,Body Language,"Austrians are reserved and formal. Kissing, hugging, touching 
              and physical closeness in public are not common."
Austria,Body Language,Eye contact is very important to Austrians.
Austria,Corporate Culture,"Austrians take punctuality for business meetings very 
              seriously and expect that you will do likewise; call with an 
              explanation if you are delayed. Never cancel an appointment at the 
              last minute."
Austria,Corporate Culture,Light conversation usually precedes business.
Austria,Corporate Culture,"Rank and title are very important in business. Power is held 
              by a small number of people at the top."
Austria,Corporate Culture,"The business community is very political. Everyone is careful 
              about what they say to or about anyone else."
Austria,Corporate Culture,Business is conducted at a slow pace. Be patient.
Austria,Dining and Entertainment,Austrians insist on punctuality for social occasions.
Austria,Dining and Entertainment,"The host gives the first toast, then the honored guest returns 
              the toast later in the meal. Maintaining eye contact during a 
              toast is very important."
Austria,Dining and Entertainment,"Never cut a dumpling. Instead, hold the dumpling with your 
              knife and break it apart with your fork."
Austria,Dining and Entertainment,"When finished eating, place your knife and fork side by side 
              on your plate at the 5:25 position. An open knife and fork on your 
              plate means you would like more food or that you are not yet 
              finished eating. Do not leave any food on your plate at a dinner 
              party."
Austria,Dining and Entertainment,"The person who extends the invitation pays the bill in a 
              restaurant. Austrians will not appreciate a struggle over the 
              bill. Reciprocate with a lunch or dinner invitation before you 
              leave the country."
Austria,Dining and Entertainment,"Do not discuss business during a meal unless your host 
              initiates the conversation."
Austria,Dress,"Austrians take pride in dressing well, regardless of where 
              they are going or what position they hold. Avoid wearing shorts in 
              the city, especially when shopping."
Austria,Gifts,Gifts are opened immediately upon receipt.
Austria,Gifts,"When invited to someone's home, always bring a gift for the 
              hostess. Give: flowers (in odd numbers only, except for the 
              dozen--an even number means bad luck—and unwrap before giving to 
              hostess), wine, pastries, chocolates, brandy, whisky. Do not give: 
              red roses, unless romance is intended, red carnations (official 
              flower of the Social Democratic Party), perfume."
Austria,Gifts,"Gifts are generally not expected in business, but come 
              prepared in case a gift is presented. Give: desk attire, books, 
              music, a regional or country gift. Do not give: personal gifts, 
              gifts with sharp edges, gifts with company logo (unless very 
              subtle) or a very expensive gift."
Austria,Helpful Hints,"Austrians are not Germans. Austria and Germany have very 
              different customs. Never refer to an Austrian as a German."
Austria,Helpful Hints,Greet salespeople when entering and leaving a shop.
Austria,Helpful Hints,Austrians may find personal compliments embarrassing.
Austria,Helpful Hints,Do not put hands in your pockets while speaking to anyone.
Austria,Especially for Women,Foreign women will have no problem doing business in Austria.
Austria,Especially for Women,"Lunch is the most common setting for business discussions. 
              Women should stick to inviting male colleagues to lunch until they 
              get to know them on a more personal level."
Austria,Especially for Women,Men enter restaurants before women.
Austria,Especially for Women,Offer your hand first upon meeting or greeting a man.
Austria,Especially for Women,
Austria,Especially for Women,
Austria,Especially for Women,^Back to Top
Belgium,Meeting and Greeting,"Shake hands with everyone present -- men, women, and children 
              -- at business and social meetings. Shake hands again when 
              leaving."
Belgium,Meeting and Greeting,Repeat your name when being introduced.
Belgium,Language,"Dutch, French and German are all widely spoken in Belgium."
Belgium,Language,"Speak English if in doubt. There is no place in Europe where 
              you can get in greater trouble by using the incorrect language 
              than in Belgium."
Belgium,Language,"The language of choice for negotiators in Brussels is English. 
              French is also frequently used."
Belgium,Body Language,It is considered impolite to snap your fingers.
Belgium,Body Language,"Do not put your hands in your pockets, yawn, scratch or use 
              toothpicks in public."
Belgium,Body Language,Feet should never be put on chairs or tables.
Belgium,Body Language,Back slapping is considered offensive.
Belgium,Body Language,"The ""okay"" sign means zero."
Belgium,Corporate Culture,"Belgians take punctuality for business meetings very 
              seriously. Call with an explanation if you are delayed."
Belgium,Corporate Culture,"Present your business card upon meeting. Business cards in 
              English are acceptable."
Belgium,Corporate Culture,"Belgians tend to socialize for a short period of time before 
              they get down to business at meetings."
Belgium,Corporate Culture,"Initial meetings are generally for getting acquainted and 
              developing trust."
Belgium,Corporate Culture,"Business meetings are formal. Personal relationships follow 
              business relationships."
Belgium,Corporate Culture,"Belgians are known for compromise, negotiation and common 
              sense. They appreciate clear facts and figures."
Belgium,Corporate Culture,"In Flanders, business organization is generally horizontal and 
              simple. Participatory management, active consensus and delegation 
              of responsibility are common in the workplace."
Belgium,Corporate Culture,"Walloons prefer structure, formal organization, clear 
              hierarchical systems and directive leadership. Rules and 
              procedures are important to Walloons, as are job titles and rank."
Belgium,Corporate Culture,"It is not acceptable to call a Belgian businessperson at home 
              unless there is an emergency."
Belgium,Dining and Entertainment,Business lunches are common; business breakfasts are rare.
Belgium,Dining and Entertainment,"To beckon a waiter or waitress raise your hand and make eye 
              contact."
Belgium,Dining and Entertainment,"Keep your hands on the table at all times during a meal -- not 
              in your lap. However, keep your elbows off the table."
Belgium,Dining and Entertainment,"Accept any drink offered by your host. Don't ask for a drink 
              not offered."
Belgium,Dining and Entertainment,"Hosts seat guests. Husbands and wives are generally not seated 
              together."
Belgium,Dining and Entertainment,Hosts and hostesses sit at opposite ends of the table.
Belgium,Dining and Entertainment,"A male guest of honor is seated to the right of the hostess; a 
              female guest of honor is seated to the right of the host."
Belgium,Dining and Entertainment,Wait to drink until your host offers the first toast.
Belgium,Dining and Entertainment,The guest of honor is generally expected to offer a toast.
Belgium,Dining and Entertainment,"Belgians are thrifty and do not appreciate waste. Finish all 
              the food on your plate."
Belgium,Dining and Entertainment,"Knife and fork are placed side by side on the dinner plate at 
              the 5:25 position when you are finished eating."
Belgium,Dining and Entertainment,"It is considered impolite to ask for a tour of your host's 
              home."
Belgium,Dress,Belgians dress conservatively.
Belgium,Dress,"For business meetings, men should wear dark suits and ties. 
              Women should wear suits, dresses or skirts and blouses."
Belgium,Gifts,Gifts are generally not exchanged in business settings.
Belgium,Gifts,"When invited to someone's home, always bring flowers for the 
              hostess. Small gifts or candy for children are appreciated."
Belgium,Gifts,"Do not give chrysanthemums, which symbolize death."
Belgium,Gifts,Gifts are generally opened in front of the giver.
Belgium,Gifts,Don’t give gifts that are extravagant or expensive.
Belgium,Helpful Hints,"Avoid discussing personal matters or linguistic divisions with 
              Belgians."
Belgium,Helpful Hints,"In Belgium, men are expected to rise when a woman enters the 
              room. They also stand on public transportation until women are 
              seated."
Belgium,Helpful Hints,Do not flaunt wealth or be noisy or loud in public.
Belgium,Helpful Hints,Do not ask personal questions about private lives.
Belgium,Helpful Hints,Try to sneeze and blow your nose in private.
Belgium,Especially for Women,"Foreign women should have little difficulty conducting 
              business in Belgium."
Belgium,Especially for Women,"It is acceptable for a foreign woman to invite a Belgian man 
              to dinner and pay the tab."
Belgium,Especially for Women,
Belgium,Especially for Women,
Belgium,Especially for Women,^Back to Top
Bolivia,Meeting and Greeting,"The customary greeting is a handshake. Shake hands when 
              meeting and departing."
Bolivia,Meeting and Greeting,"Close male friends may embrace. Female friends embrace and 
              touch cheeks."
Bolivia,Body Language,Bolivians stand very close when conversing.
Bolivia,Body Language,"You will be viewed as untrustworthy if you do not maintain 
              direct eye contact."
Bolivia,Body Language,"Correct posture while sitting and standing will be noticed. A 
              slumping posture is rude."
Bolivia,Body Language,"The “so-so” gesture (rocking your palm-down open hand from 
              side to side) means “no” in Bolivia."
Bolivia,Corporate Culture,"Although punctuality is not a high priority in Bolivia, 
              visitors should be punctual for business meetings. However, 
              meetings rarely start on time."
Bolivia,Corporate Culture,"Take the time to get to know your Bolivian customers and 
              colleagues. Personal relationships are vital to corporate success."
Bolivia,Corporate Culture,Deadlines are not considered important.
Bolivia,Corporate Culture,"More than one meeting may be necessary to negotiate and close 
              a deal. Plan on making several trips to complete business 
              transaction, since face-to-face communication is preferred over 
              phone calls, faxes and e-mail."
Bolivia,Corporate Culture,"The pace of business negotiations is generally much slower 
              than in the United States. Never attempt to rush a deal. Applying 
              pressure may cause a deal to fail. Remain low key."
Bolivia,Corporate Culture,"Hire a local contact to assist you in the Bolivian business 
              community. Third-party contacts will be vital to your success."
Bolivia,Corporate Culture,"A contract is not finished until an agreement is reached on 
              all parts. Each part is subject to re-negotiation until the entire 
              contract is signed."
Bolivia,Dining and Entertainment,"It is impolite to show up on time to a social occasion. Guests 
              are expected to be 15 to 30 minutes late for dinner or parties."
Bolivia,Dining and Entertainment,Decline the first offer of food; wait until your host insists.
Bolivia,Dining and Entertainment,"Never touch food or eat anything with your fingers. Even fruit 
              is eaten with a fruit knife and fork."
Bolivia,Dining and Entertainment,"It is polite to eat everything on your plate. Complimenting 
              the food will be viewed as a request for more food. Wait until the 
              dinner is over if you don't want more."
Bolivia,Dining and Entertainment,Stay at least 30 minutes to one hour after dinner is finished.
Bolivia,Dining and Entertainment,"The host usually insists on paying for the meal in a 
              restaurant."
Bolivia,Dress,"Men: In La Paz, a dark, three-piece suit is best. A 
              lightweight suit is more common in Santa Cruz. Follow your 
              Bolivian colleague's lead with regard to wearing ties and removing 
              jackets in the summer."
Bolivia,Dress,"Women: suits, dresses, skirts and blouses."
Bolivia,Dress,Do not wear shorts in cities.
Bolivia,Gifts,"A gift given sincerely will be appreciated regardless of the 
              value. The intention is what counts."
Bolivia,Gifts,"The recipient may not open gifts until after the giver has 
              left."
Bolivia,Gifts,"Gifts from the United States, particularly from your region, 
              are appreciated."
Bolivia,Gifts,"Give your hostess flowers, wine, whiskey and high quality 
              chocolates. Don't give yellow or purple flowers. Bring a bag of 
              assorted American candy (Tootsie Pops, candy bars, etc.) for the 
              children. It will be very well received."
Bolivia,Gifts,"Give your colleagues high quality pen and pencil sets, office 
              organizers, books and art from the United States and your home 
              region. If your company logo is on a gift, it should be small and 
              understated."
Bolivia,Helpful Hints,Know something about Bolivian sports. It will be appreciated.
Bolivia,Helpful Hints,"Don't talk about poverty, religion, drugs or the United 
              States' drug policy. The United States' military activity in 
              Bolivia is a sore spot with many citizens."
Bolivia,Helpful Hints,Do not give political opinions on Bolivia.
Bolivia,Helpful Hints,"Never praise Chile, Brazil or Paraguay. Bolivia has lost wars 
              with and land to all its neighbors."
Bolivia,Helpful Hints,"Make an effort to use Spanish in conversation. It will be 
              appreciated."
Bolivia,Helpful Hints,Bolivians appreciate people who are warm and friendly.
Bolivia,Especially for Women,"Machismo is very strong in Bolivia, and women are considered 
              subordinate. This puts severe restrictions on women's social and 
              work behavior."
Bolivia,Especially for Women,"When doing business with Bolivian men, emphasize your 
              credentials and experience."
Bolivia,Especially for Women,
Bolivia,Especially for Women,
Bolivia,Especially for Women,^Back to Top
Brazil,Meeting and Greeting,Take time to greet and say good-bye to each person present.
Brazil,Meeting and Greeting,"Women kiss twice -- once on each cheek -- if they are married. 
              Single women add a third kiss."
Brazil,Body Language,"Physical contact is part of simple communication. Touching 
              arms, elbows and backs is very common and acceptable. Brazilians 
              also stand extremely close to one another. Do not back away."
Brazil,Body Language,"The ""O.K."" sign is considered very rude and vulgar; the 
              ""thumbs up"" gesture is used for approval."
Brazil,Body Language,"Wiping your hands together means ""it doesn’t matter."""
Brazil,Body Language,"Clicking the tongue and shaking the head indicates 
              disagreement or disapproval."
Brazil,Corporate Culture,"Your personality and ability to establish strong personal and 
              business relationships is important to the success of your 
              business endeavor."
Brazil,Corporate Culture,"Brazilians will do anything for friends, hence the expression: 
              ""For friends, everything. For enemies, the law."" Relationships are 
              more important than a legal document in business."
Brazil,Corporate Culture,"Meetings are conducted at a casual, unhurried pace. Don’t get 
              right down to business. Engage in conversation first."
Brazil,Corporate Culture,"Doing business with Brazilians requires face to face 
              communication. You will be able to do only limited business by 
              phone, fax or e-mail."
Brazil,Corporate Culture,"Some facts may not be completely accurate during the early 
              stages of business negotiations. Brazilians expect some initial 
              hype and will passionately argue their points, slowly and 
              grudgingly making concessions. Try to maintain consistency in your 
              negotiating team."
Brazil,Corporate Culture,"Always get a written agreement with starting date, time of 
              delivery, payment details, etc. Bill in advance."
Brazil,Corporate Culture,Presentations should be expressive and have some flair.
Brazil,Corporate Culture,Stay at a first-class hotel. Appearances count.
Brazil,Corporate Culture,"Hire a Brazilian contact (a despachante) from your industry to 
              introduce you to the right people. He or she will be invaluable to 
              your success."
Brazil,Corporate Culture,"Hire a local accountant and a lawyer to help you with contract 
              issues. Brazilians may resent an outside legal representative."
Brazil,Corporate Culture,"Make appointments two weeks in advance. Don’t ""drop in"" on 
              business or government offices without an appointment."
Brazil,Corporate Culture,"Do not plan to make a business visit or schedule any 
              appointments during holidays or festivals."
Brazil,Dining and Entertainment,Always entertain in a prestigious restaurant.
Brazil,Dining and Entertainment,"Be prepared for lengthy meals (two hours or more for lunch). 
              Do not discuss business during meals unless your host brings it 
              up. Business may occasionally be discussed at dinner in São Paulo 
              or Rio."
Brazil,Dining and Entertainment,"Brazilians always wash their hands before eating and rarely 
              touch food with their hands. Use a knife and fork for everything, 
              even fruit. Always use a napkin while eating or drinking."
Brazil,Dining and Entertainment,"Using toothpicks in public is not acceptable unless you cover 
              your mouth with your other hand."
Brazil,Dining and Entertainment,"When inviting Brazilians to dinner or a party, do not suggest 
              that your guests bring food or drink. Do not expect them to arrive 
              on time, and never indicate a time that the party will ""end."""
Brazil,Dining and Entertainment,"To beckon a waiter, hold up the index finger of your right 
              hand and quietly say ""Garçon."" To request the check, say ""A conta, 
              por favor."" Waiters generally don’t bring checks until they are 
              requested."
Brazil,Dress,"Appearance counts. Your clothing will reflect upon you and 
              your company."
Brazil,Dress,"Brazilian women dress ""sexy"" in all situations, whether 
              business, formal or casual. Foreign women who want to blend in 
              should avoid wearing overly formal, conservative attire."
Brazil,Dress,"Shoes should be stylish, polished and well-kept. Nails should 
              be manicured."
Brazil,Dress,"In business situations, men should wear conservative dark 
              suits, shirts and ties. Three piece suits indicate executives; two 
              piece suits indicate office workers. Women should wear feminine 
              dresses, suits and pantsuits and avoid ""dressing like a man."""
Brazil,Gifts,"Gifts are not important in establishing a business 
              relationship, and people won’t expect gifts in the first few 
              contacts. A very expensive gift may be viewed as a bribe."
Brazil,Gifts,"Present a gift at a social meeting, not during a formal 
              business meeting."
Brazil,Gifts,"Give good quality whiskey, wine, coffee table books and name 
              brand pens. Gifts for your counterpart’s children will be 
              appreciated."
Brazil,Gifts,"Send flowers before or after visiting someone’s home for 
              dinner."
Brazil,Helpful Hints,"Don’t assume that the ""self-made"" businessperson is admired in 
              Brazil. Inherited wealth and a good family background are much 
              more desirable."
Brazil,Helpful Hints,"Brazilians are extremely casual about time. Being ten to 
              fifteen minutes late in business is normal, and twenty to thirty 
              minutes late is not unusual. Be on time for a formal meeting, but 
              prepare to wait for your Brazilian colleagues."
Brazil,Helpful Hints,"Soccer (football), family, Brazil’s beautiful beaches and the 
              country’s rapid growth are all appropriate conversation topics. 
              Politics, poverty, religion, Argentina (considered a rival) and 
              the deforestation of Brazil are not. Personal topics such as age, 
              salary and marital or job status are also unacceptable."
Brazil,Helpful Hints,"Brazilians are expressive and passionate conversationalists. 
              Be prepared to be interrupted."
Brazil,Helpful Hints,"Don’t smoke in public. Federal law bans smoking in public 
              places."
Brazil,Helpful Hints,Don’t refer to Brazilians as Latins.
Brazil,Especially for Women,"As women increasingly join the workforce, machismo has become 
            less common. Younger, better-educated women have values that 
            correspond closely to those of North American women. Women are 
            well-accepted and are prominent in education, medicine and 
            journalism and as small business owners."
Brazil,Especially for Women,"Brazilian women are very aggressive, in both their business 
              and personal lives."
Brazil,Especially for Women,"Foreign women will usually have no problem doing business in 
              Brazil. However, some people are still conservative in this 
              regard."
Brazil,Especially for Women,"Be very careful not to ruin a business deal by being cool and 
              too professional."
Brazil,Especially for Women,"It is traditional to invite someone for a drink after work. 
              This is not a come-on."
Brazil,Especially for Men,"Brazilian women can be very aggressive romantically and forward 
            to the point of harassment. Don’t be surprised if you are in a 
            restaurant or nightclub and a woman sends you a note asking for your 
            phone number — even if you are with your wife or girlfriend. Foreign 
            men traveling to Brazil should be very cautious when dealing with 
            Brazilian women. If you don’t want the attention, be cordial but 
            keep your distance. Don’t be overly friendly."
Brazil,Especially for Men,
Brazil,Especially for Men,
Brazil,Especially for Men,^Back to Top
Canada,Regional Differences,"Atlantic Canada (includes the Maritimes -- Nova Scotia, New 
            Brunswick, and Prince Edward Island -- and Newfoundland): Primarily 
            of British descent, the residents of the less prosperous Atlantic 
            provinces of eastern Canada are generally more reserved, stolid, 
            provincial and old-fashioned. Newfoundland is unique, with a dialect 
            and culture that draws comparisons with the Irish and the people of 
            western England."
Canada,Regional Differences,"Ontario: Residents of Canada's most populous province -- the 
            country's economic, political and cultural colossus -- are generally 
            thought of as more business-like and conservative than other 
            Canadians."
Canada,Regional Differences,"Western Canada (includes Alberta, Saskatchewan and Manitoba): 
            Residents of Canada's western provinces are generally more open, 
            relaxed, friendly and direct than other Canadians (comparisons are 
            often made with inhabitants of the western United States)."
Canada,Regional Differences,"British Columbia: Canada's unconventional westernmost province is 
            seen by Canadians as the land of the future, and has more in common 
            with Seattle than Toronto. Like many other western Canadians, many 
            residents of British Columbia feel somewhat estranged from 
            ""easterners"" (a general code word for those from Ontario and 
            Quebec)."
Canada,Regional Differences,"Quebec (and other areas of Francophone Canada): French Canadians, 
            and especially the Québécois (or citizens of Quebec, pronounced 
            ""keh-beck-wah"") have a very strong sense of cultural identity and 
            are very nationalistic. The European influence is strongly felt in 
            Quebec, whose people consider themselves the ""defenders of French 
            civilization in North America."" Because of their animated good 
            nature, Québécois are sometimes called the ""Latins of the North."""
Canada,Regional Differences,"The North: Residents of the sparsely populated north are seen as 
            rugged embodiments of the Canadian pioneer spirit."
Canada,Meeting and Greeting,"In general, Canadians are more reserved and polite than 
              Americans, and take matters of etiquette a little more seriously."
Canada,Meeting and Greeting,"Shake hands and introduce yourself when meeting Canadians for 
              the first time. Always shake hands firmly when meeting or 
              departing. Eye contact is important."
Canada,Meeting and Greeting,"When a woman enters or leaves a room, it is polite for men to 
              rise. Men normally offer their hands to women."
Canada,Meeting and Greeting,"In Quebec, kissing on the cheeks in the French manner is quite 
              common. When close friends and family meet in Quebec, they use 
              first names and kiss both cheeks."
Canada,Meeting and Greeting,"An older French Canadian man may kiss the hand of a woman. 
              Accept this gesture graciously. A foreign man shouldn't kiss the 
              hand of a French Canadian woman, who would be quite shocked."
Canada,Meeting and Greeting,"Canadians are somewhat more formal than Americans with regard 
              to names and titles. Use last names and appropriate titles until 
              invited by your Canadian hosts or colleagues to use their first 
              names. First names are normally used only by close friends and 
              family. Western Canadians may use first names more frequently than 
              other Canadians."
Canada,Meeting and Greeting,"In Quebec, coworkers of similiar status generally use first 
              names in private, but always last names in public. The formal 
              ""you"" is almost always used in a business setting, even after 20 
              years."
Canada,Meeting and Greeting,"Academic titles and degrees are important to French Canadians. 
              You should know and use them properly."
Canada,Language,"English and French are both official languages of business in 
              Canada. However, virtually all international business is conducted 
              in English."
Canada,Language,"Most French Canadians speak and understand English, but prefer 
              to use French. Check ahead of time to find out if an interpreter 
              will be necessary."
