Country,Section,Detail
Argentina,The People,"While machismo persists in Argentina, it is being challenged and 
            women are gaining visibility and influence in politics and business. 
            Argentine businesswomen are similar in status to North American 
            businesswomen."
Argentina,The People,A kiss or a hug is considered a compliment to a woman.
Argentina,The People,"Piropos - flirtatious comments - are common. Men may call out 
              ""Hey, gorgeous!"" while you’re walking down the street. Just smile, 
              say, ""Thank you very much"" and keep walking."
Argentina,The People,"Defensive behavior will damage your credibility. Emphasize 
              status and responsibility."
Argentina,Meeting and Greeting,A handshake and nod show respect when greeting someone.
Argentina,Meeting and Greeting,"An embrace and one kiss on the cheek is common between friends 
              and acquaintances."
Argentina,Meeting and Greeting,Body Language
Argentina,Meeting and Greeting,"Argentines are touchers and stand close to each other when 
              speaking. Do not back away."
Argentina,Meeting and Greeting,The “O.K.” and “thumbs up” gestures are considered vulgar.
Argentina,Meeting and Greeting,"Hitting the palm of the left hand with the right fist means “I 
              don’t believe what you are saying” or “That’s stupid.”"
Argentina,Meeting and Greeting,Corporate Culture
Argentina,Meeting and Greeting,"Personal relationships are important and must be developed 
              before business is done."
Argentina,Meeting and Greeting,"Argentines often need several meetings and extensive 
              discussion to make deals."
Argentina,Meeting and Greeting,"Decisions are made at the top. Try to arrange meeting with 
              high-level personnel."
Argentina,Meeting and Greeting,"Guests at a meeting are greeted and escorted to their chairs. 
              The visiting senior executive is seated opposite the Argentine 
              senior executive."
Argentina,Meeting and Greeting,"During business meetings, sustain a relaxed manner, maintain 
              eye contact and restrict the use of gestures. Don’t take a hard 
              sell approach."
Argentina,Meeting and Greeting,"Be prepared for a certain amount of small talk before getting 
              down to business."
Argentina,Meeting and Greeting,"Argentines are tough negotiators. Concessions will not come 
              quickly or easily. Good relationships with counterparts will 
              shorten negotiations."
Argentina,Meeting and Greeting,"Contracts are lengthy and detailed. A contract is not final 
              until all of its elements are signed. Any portion can be 
              re-negotiated. Get everything in writing."
Argentina,Meeting and Greeting,"An Argentine contact is essential to wading through government 
              bureaucracy."
Argentina,Meeting and Greeting,"Be punctual for business appointments, but prepare to wait 
              thirty minutes for your counterpart, especially if you are meeting 
              an important person."
Argentina,Meeting and Greeting,"The pace of business in Argentina is slower than in the United 
              States. A meeting that is going well could last much longer than 
              intended, even if it means postponing the next engagement."
Argentina,Meeting and Greeting,"Make appointments through a high-level person. Your Argentine 
              contact can help with this."
Argentina,Meeting and Greeting,Confirm meetings one week in advance.
Argentina,Meeting and Greeting,Dining and Entertainment
Argentina,Meeting and Greeting,"Meals are for socializing. Refrain from “talking business” 
              unless your Argentine colleague brings it up."
Argentina,Meeting and Greeting,"Business dinners are generally held in restaurants. When you 
              are the host, arrange payment ahead of time. If this is not 
              possible, insist on paying when the bill comes."
Argentina,Meeting and Greeting,"Don’t use toothpicks, blow your nose or clear your throat at 
              the table."
Argentina,Meeting and Greeting,"To summon a waiter, raise your hand with your index finger 
              extended."
Argentina,Meeting and Greeting,"Do not order imported liquor unless your host does. Taxes are 
              exorbitant."
Argentina,Meeting and Greeting,"Avoid pouring wine, which is a complex ritual in Argentina."
Argentina,Meeting and Greeting,"For social events, arrive thirty to sixty minutes late. 
              Arriving at a party on time is impolite."
Argentina,Meeting and Greeting,"Be on time for lunch appointments, the theater and soccer."
Argentina,Meeting and Greeting,Dress
Argentina,Meeting and Greeting,"Argentines are extremely fashion conscious. Dress well if you 
              want to make a good impression. Conservative, modest clothing is 
              best."
Argentina,Meeting and Greeting,"Women are expected to dress with a flair that does not detract 
              from professionalism."
Argentina,Meeting and Greeting,Gifts
Argentina,Meeting and Greeting,"Do not give personal items, including clothing."
Argentina,Meeting and Greeting,"When presented with a gift, open it at once and be 
              appreciative."
Argentina,Meeting and Greeting,"Bring flowers, candy, pastries, chocolates or imported liquor 
              when invited to someone’s home."
Argentina,Meeting and Greeting,"Business gifts are not expected until a fairly close 
              relationship has been formed."
Argentina,Meeting and Greeting,"High-quality gifts are appreciated, but very expensive gifts 
              may be interpreted as bribes."
Argentina,Meeting and Greeting,Helpful Hints
Argentina,Meeting and Greeting,"Don’t be offended by Argentine humor, which may mildly attack 
              your clothing or weight."
Argentina,Meeting and Greeting,Always greet officials before asking them questions.
Argentina,Meeting and Greeting,"Don’t compare Argentina with the United States or with Brazil, 
              which is considered a rival."
Argentina,Meeting and Greeting,"Avoid talking about Great Britain or the Falkland Islands (Las 
              Malvinas). These are sensitive subjects to many Argentines."
Argentina,Meeting and Greeting,"Be careful when discussing the Perón years. People either love 
              or hate the Peróns."
Argentina,Meeting and Greeting,"Although Argentines may be very vocal about politics and 
              religion, avoid adding your opinions to these discussions."
Argentina,Meeting and Greeting,Especially for Women
Argentina,Meeting and Greeting,"While machismo persists in Argentina, it is being challenged and 
            women are gaining visibility and influence in politics and business. 
            Argentine businesswomen are similar in status to North American 
            businesswomen."
Argentina,Meeting and Greeting,A kiss or a hug is considered a compliment to a woman.
Argentina,Meeting and Greeting,"Piropos - flirtatious comments - are common. Men may call out 
              ""Hey, gorgeous!"" while you’re walking down the street. Just smile, 
              say, ""Thank you very much"" and keep walking."
Argentina,Meeting and Greeting,"Defensive behavior will damage your credibility. Emphasize 
              status and responsibility."
Argentina,Body Language,"Argentines are touchers and stand close to each other when 
              speaking. Do not back away."
Argentina,Body Language,The “O.K.” and “thumbs up” gestures are considered vulgar.
Argentina,Body Language,"Hitting the palm of the left hand with the right fist means “I 
              don’t believe what you are saying” or “That’s stupid.”"
Argentina,Body Language,Corporate Culture
Argentina,Body Language,"Personal relationships are important and must be developed 
              before business is done."
Argentina,Body Language,"Argentines often need several meetings and extensive 
              discussion to make deals."
Argentina,Body Language,"Decisions are made at the top. Try to arrange meeting with 
              high-level personnel."
Argentina,Body Language,"Guests at a meeting are greeted and escorted to their chairs. 
              The visiting senior executive is seated opposite the Argentine 
              senior executive."
Argentina,Body Language,"During business meetings, sustain a relaxed manner, maintain 
              eye contact and restrict the use of gestures. Don’t take a hard 
              sell approach."
Argentina,Body Language,"Be prepared for a certain amount of small talk before getting 
              down to business."
Argentina,Body Language,"Argentines are tough negotiators. Concessions will not come 
              quickly or easily. Good relationships with counterparts will 
              shorten negotiations."
Argentina,Body Language,"Contracts are lengthy and detailed. A contract is not final 
              until all of its elements are signed. Any portion can be 
              re-negotiated. Get everything in writing."
Argentina,Body Language,"An Argentine contact is essential to wading through government 
              bureaucracy."
Argentina,Body Language,"Be punctual for business appointments, but prepare to wait 
              thirty minutes for your counterpart, especially if you are meeting 
              an important person."
Argentina,Body Language,"The pace of business in Argentina is slower than in the United 
              States. A meeting that is going well could last much longer than 
              intended, even if it means postponing the next engagement."
Argentina,Body Language,"Make appointments through a high-level person. Your Argentine 
              contact can help with this."
Argentina,Body Language,Confirm meetings one week in advance.
Argentina,Body Language,Dining and Entertainment
Argentina,Body Language,"Meals are for socializing. Refrain from “talking business” 
              unless your Argentine colleague brings it up."
Argentina,Body Language,"Business dinners are generally held in restaurants. When you 
              are the host, arrange payment ahead of time. If this is not 
              possible, insist on paying when the bill comes."
Argentina,Body Language,"Don’t use toothpicks, blow your nose or clear your throat at 
              the table."
Argentina,Body Language,"To summon a waiter, raise your hand with your index finger 
              extended."
Argentina,Body Language,"Do not order imported liquor unless your host does. Taxes are 
              exorbitant."
Argentina,Body Language,"Avoid pouring wine, which is a complex ritual in Argentina."
Argentina,Body Language,"For social events, arrive thirty to sixty minutes late. 
              Arriving at a party on time is impolite."
Argentina,Body Language,"Be on time for lunch appointments, the theater and soccer."
Argentina,Body Language,Dress
Argentina,Body Language,"Argentines are extremely fashion conscious. Dress well if you 
              want to make a good impression. Conservative, modest clothing is 
              best."
Argentina,Body Language,"Women are expected to dress with a flair that does not detract 
              from professionalism."
Argentina,Body Language,Gifts
Argentina,Body Language,"Do not give personal items, including clothing."
Argentina,Body Language,"When presented with a gift, open it at once and be 
              appreciative."
Argentina,Body Language,"Bring flowers, candy, pastries, chocolates or imported liquor 
              when invited to someone’s home."
Argentina,Body Language,"Business gifts are not expected until a fairly close 
              relationship has been formed."
Argentina,Body Language,"High-quality gifts are appreciated, but very expensive gifts 
              may be interpreted as bribes."
Argentina,Body Language,Helpful Hints
Argentina,Body Language,"Don’t be offended by Argentine humor, which may mildly attack 
              your clothing or weight."
Argentina,Body Language,Always greet officials before asking them questions.
Argentina,Body Language,"Don’t compare Argentina with the United States or with Brazil, 
              which is considered a rival."
Argentina,Body Language,"Avoid talking about Great Britain or the Falkland Islands (Las 
              Malvinas). These are sensitive subjects to many Argentines."
Argentina,Body Language,"Be careful when discussing the Perón years. People either love 
              or hate the Peróns."
Argentina,Body Language,"Although Argentines may be very vocal about politics and 
              religion, avoid adding your opinions to these discussions."
Argentina,Body Language,Especially for Women
Argentina,Body Language,"While machismo persists in Argentina, it is being challenged and 
            women are gaining visibility and influence in politics and business. 
            Argentine businesswomen are similar in status to North American 
            businesswomen."
Argentina,Body Language,A kiss or a hug is considered a compliment to a woman.
Argentina,Body Language,"Piropos - flirtatious comments - are common. Men may call out 
              ""Hey, gorgeous!"" while you’re walking down the street. Just smile, 
              say, ""Thank you very much"" and keep walking."
Argentina,Body Language,"Defensive behavior will damage your credibility. Emphasize 
              status and responsibility."
Argentina,Corporate Culture,"Personal relationships are important and must be developed 
              before business is done."
Argentina,Corporate Culture,"Argentines often need several meetings and extensive 
              discussion to make deals."
Argentina,Corporate Culture,"Decisions are made at the top. Try to arrange meeting with 
              high-level personnel."
Argentina,Corporate Culture,"Guests at a meeting are greeted and escorted to their chairs. 
              The visiting senior executive is seated opposite the Argentine 
              senior executive."
Argentina,Corporate Culture,"During business meetings, sustain a relaxed manner, maintain 
              eye contact and restrict the use of gestures. Don’t take a hard 
              sell approach."
Argentina,Corporate Culture,"Be prepared for a certain amount of small talk before getting 
              down to business."
Argentina,Corporate Culture,"Argentines are tough negotiators. Concessions will not come 
              quickly or easily. Good relationships with counterparts will 
              shorten negotiations."
Argentina,Corporate Culture,"Contracts are lengthy and detailed. A contract is not final 
              until all of its elements are signed. Any portion can be 
              re-negotiated. Get everything in writing."
Argentina,Corporate Culture,"An Argentine contact is essential to wading through government 
              bureaucracy."
Argentina,Corporate Culture,"Be punctual for business appointments, but prepare to wait 
              thirty minutes for your counterpart, especially if you are meeting 
              an important person."
Argentina,Corporate Culture,"The pace of business in Argentina is slower than in the United 
              States. A meeting that is going well could last much longer than 
              intended, even if it means postponing the next engagement."
Argentina,Corporate Culture,"Make appointments through a high-level person. Your Argentine 
              contact can help with this."
Argentina,Corporate Culture,Confirm meetings one week in advance.
Argentina,Corporate Culture,Dining and Entertainment
Argentina,Corporate Culture,"Meals are for socializing. Refrain from “talking business” 
              unless your Argentine colleague brings it up."
Argentina,Corporate Culture,"Business dinners are generally held in restaurants. When you 
              are the host, arrange payment ahead of time. If this is not 
              possible, insist on paying when the bill comes."
Argentina,Corporate Culture,"Don’t use toothpicks, blow your nose or clear your throat at 
              the table."
Argentina,Corporate Culture,"To summon a waiter, raise your hand with your index finger 
              extended."
Argentina,Corporate Culture,"Do not order imported liquor unless your host does. Taxes are 
              exorbitant."
Argentina,Corporate Culture,"Avoid pouring wine, which is a complex ritual in Argentina."
Argentina,Corporate Culture,"For social events, arrive thirty to sixty minutes late. 
              Arriving at a party on time is impolite."
Argentina,Corporate Culture,"Be on time for lunch appointments, the theater and soccer."
Argentina,Corporate Culture,Dress
Argentina,Corporate Culture,"Argentines are extremely fashion conscious. Dress well if you 
              want to make a good impression. Conservative, modest clothing is 
              best."
Argentina,Corporate Culture,"Women are expected to dress with a flair that does not detract 
              from professionalism."
Argentina,Corporate Culture,Gifts
Argentina,Corporate Culture,"Do not give personal items, including clothing."
Argentina,Corporate Culture,"When presented with a gift, open it at once and be 
              appreciative."
Argentina,Corporate Culture,"Bring flowers, candy, pastries, chocolates or imported liquor 
              when invited to someone’s home."
Argentina,Corporate Culture,"Business gifts are not expected until a fairly close 
              relationship has been formed."
Argentina,Corporate Culture,"High-quality gifts are appreciated, but very expensive gifts 
              may be interpreted as bribes."
Argentina,Corporate Culture,Helpful Hints
Argentina,Corporate Culture,"Don’t be offended by Argentine humor, which may mildly attack 
              your clothing or weight."
Argentina,Corporate Culture,Always greet officials before asking them questions.
Argentina,Corporate Culture,"Don’t compare Argentina with the United States or with Brazil, 
              which is considered a rival."
Argentina,Corporate Culture,"Avoid talking about Great Britain or the Falkland Islands (Las 
              Malvinas). These are sensitive subjects to many Argentines."
Argentina,Corporate Culture,"Be careful when discussing the Perón years. People either love 
              or hate the Peróns."
Argentina,Corporate Culture,"Although Argentines may be very vocal about politics and 
              religion, avoid adding your opinions to these discussions."
Argentina,Corporate Culture,Especially for Women
Argentina,Corporate Culture,"While machismo persists in Argentina, it is being challenged and 
            women are gaining visibility and influence in politics and business. 
            Argentine businesswomen are similar in status to North American 
            businesswomen."
Argentina,Corporate Culture,A kiss or a hug is considered a compliment to a woman.
Argentina,Corporate Culture,"Piropos - flirtatious comments - are common. Men may call out 
              ""Hey, gorgeous!"" while you’re walking down the street. Just smile, 
              say, ""Thank you very much"" and keep walking."
Argentina,Corporate Culture,"Defensive behavior will damage your credibility. Emphasize 
              status and responsibility."
Argentina,Dining and Entertainment,"Meals are for socializing. Refrain from “talking business” 
              unless your Argentine colleague brings it up."
Argentina,Dining and Entertainment,"Business dinners are generally held in restaurants. When you 
              are the host, arrange payment ahead of time. If this is not 
              possible, insist on paying when the bill comes."
Argentina,Dining and Entertainment,"Don’t use toothpicks, blow your nose or clear your throat at 
              the table."
Argentina,Dining and Entertainment,"To summon a waiter, raise your hand with your index finger 
              extended."
Argentina,Dining and Entertainment,"Do not order imported liquor unless your host does. Taxes are 
              exorbitant."
Argentina,Dining and Entertainment,"Avoid pouring wine, which is a complex ritual in Argentina."
Argentina,Dining and Entertainment,"For social events, arrive thirty to sixty minutes late. 
              Arriving at a party on time is impolite."
Argentina,Dining and Entertainment,"Be on time for lunch appointments, the theater and soccer."
Argentina,Dining and Entertainment,Dress
Argentina,Dining and Entertainment,"Argentines are extremely fashion conscious. Dress well if you 
              want to make a good impression. Conservative, modest clothing is 
              best."
Argentina,Dining and Entertainment,"Women are expected to dress with a flair that does not detract 
              from professionalism."
Argentina,Dining and Entertainment,Gifts
Argentina,Dining and Entertainment,"Do not give personal items, including clothing."
Argentina,Dining and Entertainment,"When presented with a gift, open it at once and be 
              appreciative."
Argentina,Dining and Entertainment,"Bring flowers, candy, pastries, chocolates or imported liquor 
              when invited to someone’s home."
Argentina,Dining and Entertainment,"Business gifts are not expected until a fairly close 
              relationship has been formed."
Argentina,Dining and Entertainment,"High-quality gifts are appreciated, but very expensive gifts 
              may be interpreted as bribes."
Argentina,Dining and Entertainment,Helpful Hints
Argentina,Dining and Entertainment,"Don’t be offended by Argentine humor, which may mildly attack 
              your clothing or weight."
Argentina,Dining and Entertainment,Always greet officials before asking them questions.
Argentina,Dining and Entertainment,"Don’t compare Argentina with the United States or with Brazil, 
              which is considered a rival."
Argentina,Dining and Entertainment,"Avoid talking about Great Britain or the Falkland Islands (Las 
              Malvinas). These are sensitive subjects to many Argentines."
Argentina,Dining and Entertainment,"Be careful when discussing the Perón years. People either love 
              or hate the Peróns."
Argentina,Dining and Entertainment,"Although Argentines may be very vocal about politics and 
              religion, avoid adding your opinions to these discussions."
Argentina,Dining and Entertainment,Especially for Women
Argentina,Dining and Entertainment,"While machismo persists in Argentina, it is being challenged and 
            women are gaining visibility and influence in politics and business. 
            Argentine businesswomen are similar in status to North American 
            businesswomen."
Argentina,Dining and Entertainment,A kiss or a hug is considered a compliment to a woman.
Argentina,Dining and Entertainment,"Piropos - flirtatious comments - are common. Men may call out 
              ""Hey, gorgeous!"" while you’re walking down the street. Just smile, 
              say, ""Thank you very much"" and keep walking."
Argentina,Dining and Entertainment,"Defensive behavior will damage your credibility. Emphasize 
              status and responsibility."
Argentina,Dress,"Argentines are extremely fashion conscious. Dress well if you 
              want to make a good impression. Conservative, modest clothing is 
              best."
Argentina,Dress,"Women are expected to dress with a flair that does not detract 
              from professionalism."
Argentina,Dress,Gifts
Argentina,Dress,"Do not give personal items, including clothing."
Argentina,Dress,"When presented with a gift, open it at once and be 
              appreciative."
Argentina,Dress,"Bring flowers, candy, pastries, chocolates or imported liquor 
              when invited to someone’s home."
Argentina,Dress,"Business gifts are not expected until a fairly close 
              relationship has been formed."
Argentina,Dress,"High-quality gifts are appreciated, but very expensive gifts 
              may be interpreted as bribes."
Argentina,Dress,Helpful Hints
Argentina,Dress,"Don’t be offended by Argentine humor, which may mildly attack 
              your clothing or weight."
Argentina,Dress,Always greet officials before asking them questions.
Argentina,Dress,"Don’t compare Argentina with the United States or with Brazil, 
              which is considered a rival."
Argentina,Dress,"Avoid talking about Great Britain or the Falkland Islands (Las 
              Malvinas). These are sensitive subjects to many Argentines."
Argentina,Dress,"Be careful when discussing the Perón years. People either love 
              or hate the Peróns."
Argentina,Dress,"Although Argentines may be very vocal about politics and 
              religion, avoid adding your opinions to these discussions."
Argentina,Dress,Especially for Women
Argentina,Dress,"While machismo persists in Argentina, it is being challenged and 
            women are gaining visibility and influence in politics and business. 
            Argentine businesswomen are similar in status to North American 
            businesswomen."
Argentina,Dress,A kiss or a hug is considered a compliment to a woman.
Argentina,Dress,"Piropos - flirtatious comments - are common. Men may call out 
              ""Hey, gorgeous!"" while you’re walking down the street. Just smile, 
              say, ""Thank you very much"" and keep walking."
Argentina,Dress,"Defensive behavior will damage your credibility. Emphasize 
              status and responsibility."
Argentina,Gifts,"Do not give personal items, including clothing."
Argentina,Gifts,"When presented with a gift, open it at once and be 
              appreciative."
Argentina,Gifts,"Bring flowers, candy, pastries, chocolates or imported liquor 
              when invited to someone’s home."
Argentina,Gifts,"Business gifts are not expected until a fairly close 
              relationship has been formed."
Argentina,Gifts,"High-quality gifts are appreciated, but very expensive gifts 
              may be interpreted as bribes."
Argentina,Gifts,Helpful Hints
Argentina,Gifts,"Don’t be offended by Argentine humor, which may mildly attack 
              your clothing or weight."
Argentina,Gifts,Always greet officials before asking them questions.
Argentina,Gifts,"Don’t compare Argentina with the United States or with Brazil, 
              which is considered a rival."
Argentina,Gifts,"Avoid talking about Great Britain or the Falkland Islands (Las 
              Malvinas). These are sensitive subjects to many Argentines."
Argentina,Gifts,"Be careful when discussing the Perón years. People either love 
              or hate the Peróns."
Argentina,Gifts,"Although Argentines may be very vocal about politics and 
              religion, avoid adding your opinions to these discussions."
Argentina,Gifts,Especially for Women
Argentina,Gifts,"While machismo persists in Argentina, it is being challenged and 
            women are gaining visibility and influence in politics and business. 
            Argentine businesswomen are similar in status to North American 
            businesswomen."
Argentina,Gifts,A kiss or a hug is considered a compliment to a woman.
Argentina,Gifts,"Piropos - flirtatious comments - are common. Men may call out 
              ""Hey, gorgeous!"" while you’re walking down the street. Just smile, 
              say, ""Thank you very much"" and keep walking."
Argentina,Gifts,"Defensive behavior will damage your credibility. Emphasize 
              status and responsibility."
Argentina,Helpful Hints,"Don’t be offended by Argentine humor, which may mildly attack 
              your clothing or weight."
Argentina,Helpful Hints,Always greet officials before asking them questions.
Argentina,Helpful Hints,"Don’t compare Argentina with the United States or with Brazil, 
              which is considered a rival."
Argentina,Helpful Hints,"Avoid talking about Great Britain or the Falkland Islands (Las 
              Malvinas). These are sensitive subjects to many Argentines."
Argentina,Helpful Hints,"Be careful when discussing the Perón years. People either love 
              or hate the Peróns."
Argentina,Helpful Hints,"Although Argentines may be very vocal about politics and 
              religion, avoid adding your opinions to these discussions."
Argentina,Helpful Hints,Especially for Women
Argentina,Helpful Hints,"While machismo persists in Argentina, it is being challenged and 
            women are gaining visibility and influence in politics and business. 
            Argentine businesswomen are similar in status to North American 
            businesswomen."
Argentina,Helpful Hints,A kiss or a hug is considered a compliment to a woman.
Argentina,Helpful Hints,"Piropos - flirtatious comments - are common. Men may call out 
              ""Hey, gorgeous!"" while you’re walking down the street. Just smile, 
              say, ""Thank you very much"" and keep walking."
Argentina,Helpful Hints,"Defensive behavior will damage your credibility. Emphasize 
              status and responsibility."
Argentina,Especially for Women,"While machismo persists in Argentina, it is being challenged and 
            women are gaining visibility and influence in politics and business. 
            Argentine businesswomen are similar in status to North American 
            businesswomen."
Argentina,Especially for Women,A kiss or a hug is considered a compliment to a woman.
Argentina,Especially for Women,"Piropos - flirtatious comments - are common. Men may call out 
              ""Hey, gorgeous!"" while you’re walking down the street. Just smile, 
              say, ""Thank you very much"" and keep walking."
Argentina,Especially for Women,"Defensive behavior will damage your credibility. Emphasize 
              status and responsibility."
Australia,The People,"Home to nearly five million immigrants from 160 countries, 
            Australia is rich in cultural diversity. Australians, or ""Aussies,"" 
            enjoy an easy-going lifestyle and are generally friendly and 
            relaxed. Modesty and equality are valued."
Australia,The People,Meeting and Greeting
Australia,The People,"Shake hands with everyone present upon meeting and before 
              leaving. Allow women to offer their hands first."
Australia,The People,Women generally do not shake hands with other women.
Australia,The People,"Use titles, Mr., Mrs., and Miss when first introduced."
Australia,The People,"Australians generally move to a first-name basis quickly. 
              Still, wait to use first names until invited to do so."
Australia,The People,Academic or job-related titles are downplayed.
Australia,The People,Body Language
Australia,The People,To beckon a waiter use a quiet hand motion.
Australia,The People,"When yawning, cover your mouth and excuse yourself."
Australia,The People,Winking at women is considered rude.
Australia,The People,"The ""V"" sign (made with index and middle fingers, palm facing 
              inward) is a very vulgar gesture. The ""thumbs up"" gesture is also 
              considered obscene."
Australia,The People,Corporate Culture
Australia,The People,"Personal relationships are important in the Australian 
              business world. Connections are valued. An introduction by an 
              established representative may be helpful in establishing a 
              relationship with an Australian firm."
Australia,The People,"Australians take punctuality seriously. If possible, arrive 
              fifteen minutes early for a business meeting."
Australia,The People,"Australians will quickly get down to business. Communications 
              will be direct, good-humored and to the point."
Australia,The People,"Australian businesspeople tend to be pragmatic, efficient and 
              profit-oriented. They appreciate straight-forward, open 
              presentations."
Australia,The People,"Australians dislike one-upmanship. Don’t overplay 
              qualifications, rank or titles."
Australia,The People,"Negotiations proceed quickly. Bargaining is not customary. 
              Proposals should be presented with acceptable terms. Leave some 
              allowance for some give and take."
Australia,The People,"Australians will often negotiate major issues without 
              over-emphasis on details. However, contracts are generally 
              detailed and firm."
Australia,The People,Dining and Entertainment
Australia,The People,Always arrive on time or a few minutes early for a dinner.
Australia,The People,"The person who makes the invitation generally pays the bill in 
              restaurants. However, it isn't unusual for friends to split the 
              bill."
Australia,The People,"Australians follow continental-style dining etiquette (fork 
              held in the left hand; knife in right)."
Australia,The People,"Barbecues -- very informal ""cook outs"" -- are popular in 
              Australia. Sometimes guests bring their own meat or other items."
Australia,The People,The guest of honor is generally seated to the right of host.
Australia,The People,"Soup should be eaten by moving the spoon away from you, not 
              toward you."
Australia,The People,"Lay knife/fork parallel on plate at 5:25 position when 
              finished eating."
Australia,The People,Keep your hands above the table and elbows off the table.
Australia,The People,"Offer to help with meal preparation and clean-up when being 
              entertained in a home."
Australia,The People,"Do not say ""I'm stuffed"" after a meal. This means you are 
              pregnant."
Australia,The People,Dress
Australia,The People,"Australians wear fashions similar those worn by Europeans and 
              North Americans"
Australia,The People,"For business, men should wear conservative jackets and ties. 
              During the summer months, jackets are often removed. Women should 
              wear skirts and blouses or dresses."
Australia,The People,Gifts
Australia,The People,"It is not customary to exchange business gifts during initial 
              meetings."
Australia,The People,"When invited to an Australian’s home, bring a small gift 
              (flowers, chocolates, or books about your home country or region) 
              for your hosts."
Australia,The People,"Australia produces excellent wine. Taking wine would be like 
              taking sand to the desert."
Australia,The People,Helpful Hints
Australia,The People,"Stick with standard English, not Aussie terms."
Australia,The People,"Aussies dislike class distinctions and have a history of 
              ""cutting down the tall poppy."" This grew out of the Australian 
              prisoners' hatred of their British overseers. Many Australian 
              politicians have declined the designation of knighthood for fear 
              of alienating their constituents."
