,Country,Section,Detail,Unnamed: 0
263,Australia,Meeting and Greeting,"Don’t comment on anyone's accent. Accents often distinguish 
              social class.",
264,Australia,Meeting and Greeting,"If you are teased, you are expected to reply in kind, with 
              good humor. Such self-confidence will increase an Australian's 
              respect for you. They do not admire a subservient attitude.",
265,Australia,Meeting and Greeting,Do not sniff or blow your nose in public.,
400,Austria,Meeting and Greeting,"Shake hands with everyone present--men, women and children--at 
              a business or social meeting; shake hands with women before men. 
              Women should offer their hand first. Shake hands again when 
              leaving.",
401,Austria,Meeting and Greeting,"Viennese men may kiss the hand of a woman. Accept this 
              tradition graciously. A foreign man should not kiss the hand of an 
              Austrian woman, since it is not expected and may come as a shock.",
402,Austria,Meeting and Greeting,Names and Titles,
403,Austria,Meeting and Greeting,"Titles are very important. Use last names and appropriate 
              titles until specifically invited by your Austrian host or 
              colleagues to use their first names.",
404,Austria,Meeting and Greeting,"Herr/Frau+ professional title + surname are used when 
              initially addressing someone. Example:Herr Doctor Bauer. Frau+ professional title + surname are also used when addressing the 
              wife of a professional. Example:Frau Doctor Bauer. All 
              women over 18 are Frau, even if they are not married.",
405,Austria,Meeting and Greeting,"After you initially meet someone, you can drop his/her surname 
              and address the person usingHerr/Frau+ professional title 
              alone. Example:Herr Doctor or Frau Doctor.",
407,Austria,Meeting and Greeting,"Austrians are reserved and formal. Kissing, hugging, touching 
              and physical closeness in public are not common.",
408,Austria,Meeting and Greeting,Eye contact is very important to Austrians.,
410,Austria,Meeting and Greeting,"Austrians take punctuality for business meetings very 
              seriously and expect that you will do likewise; call with an 
              explanation if you are delayed. Never cancel an appointment at the 
              last minute.",
411,Austria,Meeting and Greeting,Light conversation usually precedes business.,
412,Austria,Meeting and Greeting,"Rank and title are very important in business. Power is held 
              by a small number of people at the top.",
413,Austria,Meeting and Greeting,"The business community is very political. Everyone is careful 
              about what they say to or about anyone else.",
414,Austria,Meeting and Greeting,Business is conducted at a slow pace. Be patient.,
416,Austria,Meeting and Greeting,Austrians insist on punctuality for social occasions.,
417,Austria,Meeting and Greeting,"The host gives the first toast, then the honored guest returns 
              the toast later in the meal. Maintaining eye contact during a 
              toast is very important.",
418,Austria,Meeting and Greeting,"Never cut a dumpling. Instead, hold the dumpling with your 
              knife and break it apart with your fork.",
419,Austria,Meeting and Greeting,"When finished eating, place your knife and fork side by side 
              on your plate at the 5:25 position. An open knife and fork on your 
              plate means you would like more food or that you are not yet 
              finished eating. Do not leave any food on your plate at a dinner 
              party.",
420,Austria,Meeting and Greeting,"The person who extends the invitation pays the bill in a 
              restaurant. Austrians will not appreciate a struggle over the 
              bill. Reciprocate with a lunch or dinner invitation before you 
              leave the country.",
421,Austria,Meeting and Greeting,"Do not discuss business during a meal unless your host 
              initiates the conversation.",
423,Austria,Meeting and Greeting,"Austrians take pride in dressing well, regardless of where 
              they are going or what position they hold. Avoid wearing shorts in 
              the city, especially when shopping.",
425,Austria,Meeting and Greeting,Gifts are opened immediately upon receipt.,
426,Austria,Meeting and Greeting,"When invited to someone's home, always bring a gift for the 
              hostess. Give: flowers (in odd numbers only, except for the 
              dozen--an even number means bad luck—and unwrap before giving to 
              hostess), wine, pastries, chocolates, brandy, whisky. Do not give: 
              red roses, unless romance is intended, red carnations (official 
              flower of the Social Democratic Party), perfume.",
427,Austria,Meeting and Greeting,"Gifts are generally not expected in business, but come 
              prepared in case a gift is presented. Give: desk attire, books, 
              music, a regional or country gift. Do not give: personal gifts, 
              gifts with sharp edges, gifts with company logo (unless very 
              subtle) or a very expensive gift.",
429,Austria,Meeting and Greeting,"Austrians are not Germans. Austria and Germany have very 
              different customs. Never refer to an Austrian as a German.",
430,Austria,Meeting and Greeting,Greet salespeople when entering and leaving a shop.,
431,Austria,Meeting and Greeting,Austrians may find personal compliments embarrassing.,
432,Austria,Meeting and Greeting,Do not put hands in your pockets while speaking to anyone.,
434,Austria,Meeting and Greeting,Foreign women will have no problem doing business in Austria.,
435,Austria,Meeting and Greeting,"Lunch is the most common setting for business discussions. 
              Women should stick to inviting male colleagues to lunch until they 
              get to know them on a more personal level.",
436,Austria,Meeting and Greeting,Men enter restaurants before women.,
437,Austria,Meeting and Greeting,Offer your hand first upon meeting or greeting a man.,
595,Belgium,Meeting and Greeting,"Shake hands with everyone present -- men, women, and children 
              -- at business and social meetings. Shake hands again when 
              leaving.",
596,Belgium,Meeting and Greeting,Repeat your name when being introduced.,
597,Belgium,Meeting and Greeting,Language,
598,Belgium,Meeting and Greeting,"Dutch, French and German are all widely spoken in Belgium.",
599,Belgium,Meeting and Greeting,"Speak English if in doubt. There is no place in Europe where 
              you can get in greater trouble by using the incorrect language 
              than in Belgium.",
600,Belgium,Meeting and Greeting,"The language of choice for negotiators in Brussels is English. 
              French is also frequently used.",
602,Belgium,Meeting and Greeting,It is considered impolite to snap your fingers.,
603,Belgium,Meeting and Greeting,"Do not put your hands in your pockets, yawn, scratch or use 
              toothpicks in public.",
604,Belgium,Meeting and Greeting,Feet should never be put on chairs or tables.,
605,Belgium,Meeting and Greeting,Back slapping is considered offensive.,
606,Belgium,Meeting and Greeting,"The ""okay"" sign means zero.",
608,Belgium,Meeting and Greeting,"Belgians take punctuality for business meetings very 
              seriously. Call with an explanation if you are delayed.",
609,Belgium,Meeting and Greeting,"Present your business card upon meeting. Business cards in 
              English are acceptable.",
610,Belgium,Meeting and Greeting,"Belgians tend to socialize for a short period of time before 
              they get down to business at meetings.",
611,Belgium,Meeting and Greeting,"Initial meetings are generally for getting acquainted and 
              developing trust.",
612,Belgium,Meeting and Greeting,"Business meetings are formal. Personal relationships follow 
              business relationships.",
613,Belgium,Meeting and Greeting,"Belgians are known for compromise, negotiation and common 
              sense. They appreciate clear facts and figures.",
614,Belgium,Meeting and Greeting,"In Flanders, business organization is generally horizontal and 
              simple. Participatory management, active consensus and delegation 
              of responsibility are common in the workplace.",
615,Belgium,Meeting and Greeting,"Walloons prefer structure, formal organization, clear 
              hierarchical systems and directive leadership. Rules and 
              procedures are important to Walloons, as are job titles and rank.",
616,Belgium,Meeting and Greeting,"It is not acceptable to call a Belgian businessperson at home 
              unless there is an emergency.",
618,Belgium,Meeting and Greeting,Business lunches are common; business breakfasts are rare.,
619,Belgium,Meeting and Greeting,"To beckon a waiter or waitress raise your hand and make eye 
              contact.",
620,Belgium,Meeting and Greeting,"Keep your hands on the table at all times during a meal -- not 
              in your lap. However, keep your elbows off the table.",
621,Belgium,Meeting and Greeting,"Accept any drink offered by your host. Don't ask for a drink 
              not offered.",
622,Belgium,Meeting and Greeting,"Hosts seat guests. Husbands and wives are generally not seated 
              together.",
623,Belgium,Meeting and Greeting,Hosts and hostesses sit at opposite ends of the table.,
624,Belgium,Meeting and Greeting,"A male guest of honor is seated to the right of the hostess; a 
              female guest of honor is seated to the right of the host.",
625,Belgium,Meeting and Greeting,Wait to drink until your host offers the first toast.,
626,Belgium,Meeting and Greeting,The guest of honor is generally expected to offer a toast.,
627,Belgium,Meeting and Greeting,"Belgians are thrifty and do not appreciate waste. Finish all 
              the food on your plate.",
628,Belgium,Meeting and Greeting,"Knife and fork are placed side by side on the dinner plate at 
              the 5:25 position when you are finished eating.",
629,Belgium,Meeting and Greeting,"It is considered impolite to ask for a tour of your host's 
              home.",
631,Belgium,Meeting and Greeting,Belgians dress conservatively.,
632,Belgium,Meeting and Greeting,"For business meetings, men should wear dark suits and ties. 
              Women should wear suits, dresses or skirts and blouses.",
634,Belgium,Meeting and Greeting,Gifts are generally not exchanged in business settings.,
635,Belgium,Meeting and Greeting,"When invited to someone's home, always bring flowers for the 
              hostess. Small gifts or candy for children are appreciated.",
636,Belgium,Meeting and Greeting,"Do not give chrysanthemums, which symbolize death.",
637,Belgium,Meeting and Greeting,Gifts are generally opened in front of the giver.,
638,Belgium,Meeting and Greeting,Don’t give gifts that are extravagant or expensive.,
640,Belgium,Meeting and Greeting,"Avoid discussing personal matters or linguistic divisions with 
              Belgians.",
641,Belgium,Meeting and Greeting,"In Belgium, men are expected to rise when a woman enters the 
              room. They also stand on public transportation until women are 
              seated.",
642,Belgium,Meeting and Greeting,Do not flaunt wealth or be noisy or loud in public.,
643,Belgium,Meeting and Greeting,Do not ask personal questions about private lives.,
644,Belgium,Meeting and Greeting,Try to sneeze and blow your nose in private.,
646,Belgium,Meeting and Greeting,"Foreign women should have little difficulty conducting 
              business in Belgium.",
647,Belgium,Meeting and Greeting,"It is acceptable for a foreign woman to invite a Belgian man 
              to dinner and pay the tab.",
855,Bolivia,Meeting and Greeting,"The customary greeting is a handshake. Shake hands when 
              meeting and departing.",
856,Bolivia,Meeting and Greeting,"Close male friends may embrace. Female friends embrace and 
              touch cheeks.",
858,Bolivia,Meeting and Greeting,Bolivians stand very close when conversing.,
859,Bolivia,Meeting and Greeting,"You will be viewed as untrustworthy if you do not maintain 
              direct eye contact.",
860,Bolivia,Meeting and Greeting,"Correct posture while sitting and standing will be noticed. A 
              slumping posture is rude.",
861,Bolivia,Meeting and Greeting,"The “so-so” gesture (rocking your palm-down open hand from 
              side to side) means “no” in Bolivia.",
863,Bolivia,Meeting and Greeting,"Although punctuality is not a high priority in Bolivia, 
              visitors should be punctual for business meetings. However, 
              meetings rarely start on time.",
864,Bolivia,Meeting and Greeting,"Take the time to get to know your Bolivian customers and 
              colleagues. Personal relationships are vital to corporate success.",
865,Bolivia,Meeting and Greeting,Deadlines are not considered important.,
866,Bolivia,Meeting and Greeting,"More than one meeting may be necessary to negotiate and close 
              a deal. Plan on making several trips to complete business 
              transaction, since face-to-face communication is preferred over 
              phone calls, faxes and e-mail.",
867,Bolivia,Meeting and Greeting,"The pace of business negotiations is generally much slower 
              than in the United States. Never attempt to rush a deal. Applying 
              pressure may cause a deal to fail. Remain low key.",
868,Bolivia,Meeting and Greeting,"Hire a local contact to assist you in the Bolivian business 
              community. Third-party contacts will be vital to your success.",
869,Bolivia,Meeting and Greeting,"A contract is not finished until an agreement is reached on 
              all parts. Each part is subject to re-negotiation until the entire 
              contract is signed.",
871,Bolivia,Meeting and Greeting,"It is impolite to show up on time to a social occasion. Guests 
              are expected to be 15 to 30 minutes late for dinner or parties.",
872,Bolivia,Meeting and Greeting,Decline the first offer of food; wait until your host insists.,
873,Bolivia,Meeting and Greeting,"Never touch food or eat anything with your fingers. Even fruit 
              is eaten with a fruit knife and fork.",
874,Bolivia,Meeting and Greeting,"It is polite to eat everything on your plate. Complimenting 
              the food will be viewed as a request for more food. Wait until the 
              dinner is over if you don't want more.",
875,Bolivia,Meeting and Greeting,Stay at least 30 minutes to one hour after dinner is finished.,
876,Bolivia,Meeting and Greeting,"The host usually insists on paying for the meal in a 
              restaurant.",
878,Bolivia,Meeting and Greeting,"Men: In La Paz, a dark, three-piece suit is best. A 
              lightweight suit is more common in Santa Cruz. Follow your 
              Bolivian colleague's lead with regard to wearing ties and removing 
              jackets in the summer.",
879,Bolivia,Meeting and Greeting,"Women: suits, dresses, skirts and blouses.",
880,Bolivia,Meeting and Greeting,Do not wear shorts in cities.,
882,Bolivia,Meeting and Greeting,"A gift given sincerely will be appreciated regardless of the 
              value. The intention is what counts.",
883,Bolivia,Meeting and Greeting,"The recipient may not open gifts until after the giver has 
              left.",
884,Bolivia,Meeting and Greeting,"Gifts from the United States, particularly from your region, 
              are appreciated.",
885,Bolivia,Meeting and Greeting,"Give your hostess flowers, wine, whiskey and high quality 
              chocolates. Don't give yellow or purple flowers. Bring a bag of 
              assorted American candy (Tootsie Pops, candy bars, etc.) for the 
              children. It will be very well received.",
886,Bolivia,Meeting and Greeting,"Give your colleagues high quality pen and pencil sets, office 
              organizers, books and art from the United States and your home 
              region. If your company logo is on a gift, it should be small and 
              understated.",
888,Bolivia,Meeting and Greeting,Know something about Bolivian sports. It will be appreciated.,
889,Bolivia,Meeting and Greeting,"Don't talk about poverty, religion, drugs or the United 
              States' drug policy. The United States' military activity in 
              Bolivia is a sore spot with many citizens.",
890,Bolivia,Meeting and Greeting,Do not give political opinions on Bolivia.,
891,Bolivia,Meeting and Greeting,"Never praise Chile, Brazil or Paraguay. Bolivia has lost wars 
              with and land to all its neighbors.",
892,Bolivia,Meeting and Greeting,"Make an effort to use Spanish in conversation. It will be 
              appreciated.",
893,Bolivia,Meeting and Greeting,Bolivians appreciate people who are warm and friendly.,
895,Bolivia,Meeting and Greeting,"Machismo is very strong in Bolivia, and women are considered 
              subordinate. This puts severe restrictions on women's social and 
              work behavior.",
896,Bolivia,Meeting and Greeting,"When doing business with Bolivian men, emphasize your 
              credentials and experience.",
1041,Brazil,Meeting and Greeting,Take time to greet and say good-bye to each person present.,
1042,Brazil,Meeting and Greeting,"Women kiss twice -- once on each cheek -- if they are married. 
              Single women add a third kiss.",
1044,Brazil,Meeting and Greeting,"Physical contact is part of simple communication. Touching 
              arms, elbows and backs is very common and acceptable. Brazilians 
              also stand extremely close to one another. Do not back away.",
1045,Brazil,Meeting and Greeting,"The ""O.K."" sign is considered very rude and vulgar; the 
              ""thumbs up"" gesture is used for approval.",
1046,Brazil,Meeting and Greeting,"Wiping your hands together means ""it doesn’t matter.""",
1047,Brazil,Meeting and Greeting,"Clicking the tongue and shaking the head indicates 
              disagreement or disapproval.",
1049,Brazil,Meeting and Greeting,"Your personality and ability to establish strong personal and 
              business relationships is important to the success of your 
              business endeavor.",
1050,Brazil,Meeting and Greeting,"Brazilians will do anything for friends, hence the expression: 
              ""For friends, everything. For enemies, the law."" Relationships are 
              more important than a legal document in business.",
1051,Brazil,Meeting and Greeting,"Meetings are conducted at a casual, unhurried pace. Don’t get 
              right down to business. Engage in conversation first.",
1052,Brazil,Meeting and Greeting,"Doing business with Brazilians requires face to face 
              communication. You will be able to do only limited business by 
              phone, fax or e-mail.",
1053,Brazil,Meeting and Greeting,"Some facts may not be completely accurate during the early 
              stages of business negotiations. Brazilians expect some initial 
              hype and will passionately argue their points, slowly and 
              grudgingly making concessions. Try to maintain consistency in your 
              negotiating team.",
1054,Brazil,Meeting and Greeting,"Always get a written agreement with starting date, time of 
              delivery, payment details, etc. Bill in advance.",
1055,Brazil,Meeting and Greeting,Presentations should be expressive and have some flair.,
1056,Brazil,Meeting and Greeting,Stay at a first-class hotel. Appearances count.,
1057,Brazil,Meeting and Greeting,"Hire a Brazilian contact (a despachante) from your industry to 
              introduce you to the right people. He or she will be invaluable to 
              your success.",
1058,Brazil,Meeting and Greeting,"Hire a local accountant and a lawyer to help you with contract 
              issues. Brazilians may resent an outside legal representative.",
1059,Brazil,Meeting and Greeting,"Make appointments two weeks in advance. Don’t ""drop in"" on 
              business or government offices without an appointment.",
1060,Brazil,Meeting and Greeting,"Do not plan to make a business visit or schedule any 
              appointments during holidays or festivals.",
1062,Brazil,Meeting and Greeting,Always entertain in a prestigious restaurant.,
1063,Brazil,Meeting and Greeting,"Be prepared for lengthy meals (two hours or more for lunch). 
              Do not discuss business during meals unless your host brings it 
              up. Business may occasionally be discussed at dinner in São Paulo 
              or Rio.",
1064,Brazil,Meeting and Greeting,"Brazilians always wash their hands before eating and rarely 
              touch food with their hands. Use a knife and fork for everything, 
              even fruit. Always use a napkin while eating or drinking.",
1065,Brazil,Meeting and Greeting,"Using toothpicks in public is not acceptable unless you cover 
              your mouth with your other hand.",
1066,Brazil,Meeting and Greeting,"When inviting Brazilians to dinner or a party, do not suggest 
              that your guests bring food or drink. Do not expect them to arrive 
              on time, and never indicate a time that the party will ""end.""",
1067,Brazil,Meeting and Greeting,"To beckon a waiter, hold up the index finger of your right 
              hand and quietly say ""Garçon."" To request the check, say ""A conta, 
              por favor."" Waiters generally don’t bring checks until they are 
              requested.",
1069,Brazil,Meeting and Greeting,"Appearance counts. Your clothing will reflect upon you and 
              your company.",
1070,Brazil,Meeting and Greeting,"Brazilian women dress ""sexy"" in all situations, whether 
              business, formal or casual. Foreign women who want to blend in 
              should avoid wearing overly formal, conservative attire.",
1071,Brazil,Meeting and Greeting,"Shoes should be stylish, polished and well-kept. Nails should 
              be manicured.",
1072,Brazil,Meeting and Greeting,"In business situations, men should wear conservative dark 
              suits, shirts and ties. Three piece suits indicate executives; two 
              piece suits indicate office workers. Women should wear feminine 
              dresses, suits and pantsuits and avoid ""dressing like a man.""",
1074,Brazil,Meeting and Greeting,"Gifts are not important in establishing a business 
              relationship, and people won’t expect gifts in the first few 
              contacts. A very expensive gift may be viewed as a bribe.",
1075,Brazil,Meeting and Greeting,"Present a gift at a social meeting, not during a formal 
              business meeting.",
1076,Brazil,Meeting and Greeting,"Give good quality whiskey, wine, coffee table books and name 
              brand pens. Gifts for your counterpart’s children will be 
              appreciated.",
1077,Brazil,Meeting and Greeting,"Send flowers before or after visiting someone’s home for 
              dinner.",
1079,Brazil,Meeting and Greeting,"Don’t assume that the ""self-made"" businessperson is admired in 
              Brazil. Inherited wealth and a good family background are much 
              more desirable.",
1080,Brazil,Meeting and Greeting,"Brazilians are extremely casual about time. Being ten to 
              fifteen minutes late in business is normal, and twenty to thirty 
              minutes late is not unusual. Be on time for a formal meeting, but 
              prepare to wait for your Brazilian colleagues.",
1081,Brazil,Meeting and Greeting,"Soccer (football), family, Brazil’s beautiful beaches and the 
              country’s rapid growth are all appropriate conversation topics. 
              Politics, poverty, religion, Argentina (considered a rival) and 
              the deforestation of Brazil are not. Personal topics such as age, 
              salary and marital or job status are also unacceptable.",
1082,Brazil,Meeting and Greeting,"Brazilians are expressive and passionate conversationalists. 
              Be prepared to be interrupted.",
1083,Brazil,Meeting and Greeting,"Don’t smoke in public. Federal law bans smoking in public 
              places.",
1084,Brazil,Meeting and Greeting,Don’t refer to Brazilians as Latins.,
1086,Brazil,Meeting and Greeting,"As women increasingly join the workforce, machismo has become 
            less common. Younger, better-educated women have values that 
            correspond closely to those of North American women. Women are 
            well-accepted and are prominent in education, medicine and 
            journalism and as small business owners.",
1087,Brazil,Meeting and Greeting,"Brazilian women are very aggressive, in both their business 
              and personal lives.",
1088,Brazil,Meeting and Greeting,"Foreign women will usually have no problem doing business in 
              Brazil. However, some people are still conservative in this 
              regard.",
1089,Brazil,Meeting and Greeting,"Be very careful not to ruin a business deal by being cool and 
              too professional.",
1090,Brazil,Meeting and Greeting,"It is traditional to invite someone for a drink after work. 
              This is not a come-on.",
1091,Brazil,Meeting and Greeting,Especially for Men,
1092,Brazil,Meeting and Greeting,"Brazilian women can be very aggressive romantically and forward 
            to the point of harassment. Don’t be surprised if you are in a 
            restaurant or nightclub and a woman sends you a note asking for your 
            phone number — even if you are with your wife or girlfriend. Foreign 
            men traveling to Brazil should be very cautious when dealing with 
            Brazilian women. If you don’t want the attention, be cordial but 
            keep your distance. Don’t be overly friendly.",
